title,page_url,sektor,subsektor,jenis_regulasi,nomor_regulasi,tanggal_berlaku,filename,file_url,new_filename,pages,page_range
Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek,https://www.ojk.go.id/id/regulasi/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024.aspx,Pasar Modal,Perusahaan Efek,Peraturan OJK,6 Tahun 2024,2 Mei 2024,Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun- -- POJK 6 Tahun 2024 Pembiayaan Transaksi Efek Oleh Perusahaan Efek Bagi Nasabah dan Transaksi Short Selling Oleh Perusahaan Efek.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembiayaan-Transaksi-Efek-Perusahaan-Efek-Bagi-Nasabah-dan-Transaksi-Short-Selling-Oleh-Perusahaan-Efek-POJK-6-Tahun-2024/POJK%206%20Tahun%202024%20Pembiayaan%20Transaksi%20Efek%20Oleh%20Perusahaan%20Efek%20Bagi%20Nasabah%20dan%20Transaksi%20Short%20Selling%20Oleh%20Perusahaan%20Efek.pdf,ojk-peraturan_ojk-6_tahun_2024-02052024-pembiayaan_transaksi_efek_oleh_perusahaan_efek_bagi_nasabah_dan_transaksi_short_selling_oleh_perusahaan_efek.pdf,28,26-30
Laporan Kepemilikan atau Setiap Perubahan Kepemilikan Saham Perusahaan Terbuka dan Aktivitas Menjaminkan Saham Perusahaan Terbuka,https://www.ojk.go.id/id/regulasi/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,4 Tahun 2024,28 Februari 2024,POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan -- POJK 4 Tahun 2024 Laporan Kepemilikan atau Setiap Perubahan Kepemilik.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-4-Tahun-2024-Laporan-Kepemilikan-atau-Setiap-Perubahan-Kepemilikan-Saham-Perusahaan-Terbuka-dan-Aktivitas-Menjaminkan/POJK%204%20Tahun%202024%20Laporan%20Kepemilikan%20atau%20Setiap%20Perubahan%20Kepemilik.pdf,ojk-peraturan_ojk-4_tahun_2024-28022024-laporan_kepemilikan_atau_setiap_perubahan_kepemilikan_saham_perusahaan_terbuka_dan_aktivitas_menjaminkan_saham_perusahaan_terbuka.pdf,21,21-25
Pembelian Kembali Saham yang Dikeluarkan oleh Perusahaan Terbuka,https://www.ojk.go.id/id/regulasi/Pages/Pembelian-Kembali-Saham-yang-Dikeluarkan-oleh-Perusahaan-Terbuka-.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,29 Tahun 2023,29 Desember 2023,Pembelian-Kembali-Saham-yang-Dikeluarkan-oleh-Perusahaan-Terbuka- -- POJK 29 Tahun 2023 Pembelian Kembali Saham Yang Dikeluarkan Oleh Perusahaan Terbuka.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pembelian-Kembali-Saham-yang-Dikeluarkan-oleh-Perusahaan-Terbuka-/POJK%2029%20Tahun%202023%20Pembelian%20Kembali%20Saham%20Yang%20Dikeluarkan%20Oleh%20Perusahaan%20Terbuka.pdf,ojk-peraturan_ojk-29_tahun_2023-29122023-pembelian_kembali_saham_yang_dikeluarkan_oleh_perusahaan_terbuka.pdf,29,26-30
Pengguna Standar Akuntansi Keuangan Internasional di Pasar Modal,https://www.ojk.go.id/id/regulasi/Pages/Pengguna-Standar-Akuntansi-Keuangan-Internasional-di-Pasar-Modal.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,26 Tahun 2023,22 Desember 2023,Pengguna-Standar-Akuntansi-Keuangan-Internasional-di-Pasar-Modal -- POJK 26 Tahun 2023 Pengguna Standar Akuntansi Keuangan Internasional di Pasar Modal.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pengguna-Standar-Akuntansi-Keuangan-Internasional-di-Pasar-Modal/POJK%2026%20Tahun%202023%20Pengguna%20Standar%20Akuntansi%20Keuangan%20Internasional%20di%20Pasar%20Modal.pdf,ojk-peraturan_ojk-26_tahun_2023-22122023-pengguna_standar_akuntansi_keuangan_internasional_di_pasar_modal.pdf,11,11-15
Layanan Digital oleh Bank Umum,https://www.ojk.go.id/id/regulasi/Pages/Layanan-Digital-oleh-Bank-Umum.aspx,Perbankan,Bank Umum,Peraturan OJK,21 Tahun 2023,22 Desember 2023,Layanan-Digital-oleh-Bank-Umum -- POJK 21 Tahun 2023. Layanan Digital oleh Bank Umum.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Layanan-Digital-oleh-Bank-Umum/POJK%2021%20Tahun%202023.%20Layanan%20Digital%20oleh%20Bank%20Umum.pdf,ojk-peraturan_ojk-21_tahun_2023-22122023-layanan_digital_oleh_bank_umum.pdf,33,31-35
Pengembangan Kualitas Sumber Daya Manusia Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah,https://www.ojk.go.id/id/regulasi/Pages/Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah-(POJK-19-Tahu-2023).aspx,Perbankan,"BPR,  Perbankan Syariah",Peraturan OJK,19 Tahun 2023,1 November 2023,Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah-(POJK-19-Tahu-2 -- POJK 19 Tahun 2023 - Pengembangan Kualitas Sumber Daya Manusia Bank Perekonomian Rakyat dan Bank Perekonomian Rakyat Syariah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Pengembangan-Kualitas-Sumber-Daya-Manusia-Bank-Perekonomian-Rakyat-dan-Bank-Perekonomian-Rakyat-Syariah-%28POJK-19-Tahu-2023%29/POJK%2019%20Tahun%202023%20-%20Pengembangan%20Kualitas%20Sumber%20Daya%20Manusia%20Bank%20Perekonomian%20Rakyat%20dan%20Bank%20Perekonomian%20Rakyat%20Syariah.pdf,ojk-peraturan_ojk-19_tahun_2023-01112023-pengembangan_kualitas_sumber_daya_manusia_bank_perekonomian_rakyat_dan_bank_perekonomian_rakyat_syariah.pdf,18,16-20
Penyelenggaraan Layanan Administrasi Prinsip Mengenali Nasabah,https://www.ojk.go.id/id/regulasi/Pages/POJK-Nomor-15-Tahun-2023-tentang-Penyelenggaraan-Layanan-Administrasi-Prinsip-Mengenali-Nasabah.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,15 Tahun 2023,8 Agustus 2023,POJK-Nomor-15-Tahun-2023-tentang-Penyelenggaraan-Layanan-Administrasi-Prinsip-Mengenali-Nasabah -- POJK 15 Tahun 2023- Penyelenggaraan Layanan Administrasi Prinsip Mengenali Nasabah.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/POJK-Nomor-15-Tahun-2023-tentang-Penyelenggaraan-Layanan-Administrasi-Prinsip-Mengenali-Nasabah/POJK%2015%20Tahun%202023-%20Penyelenggaraan%20Layanan%20Administrasi%20Prinsip%20Mengenali%20Nasabah.pdf,ojk-peraturan_ojk-15_tahun_2023-08082023-penyelenggaraan_layanan_administrasi_prinsip_mengenali_nasabah.pdf,17,16-20
Penyidikan Tindak Pidana di Sektor Jasa Keuangan,https://www.ojk.go.id/id/regulasi/Pages/Penyidikan-Tindak-Pidana-di-Sektor-Jasa-Keuangan-(POJK-Penyidikan).aspx,"Perbankan,  Pasar Modal,  IKNB,  Syariah,  EPK",Peraturan Lainnya,Peraturan OJK,16 Tahun 2023,7 Agustus 2023,Penyidikan-Tindak-Pidana-di-Sektor-Jasa-Keuangan-(POJK-Penyidikan) -- POJK 16 TAHUN 2023 -  OJK TERBITKAN ATURAN BARU MENGENAI PENYIDIKAN TINDAK PIDANA SEKTOR JASA KEUANGAN.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Penyidikan-Tindak-Pidana-di-Sektor-Jasa-Keuangan-%28POJK-Penyidikan%29/POJK%2016%20TAHUN%202023%20-%20%20OJK%20TERBITKAN%20ATURAN%20BARU%20MENGENAI%20PENYIDIKAN%20TINDAK%20PIDANA%20SEKTOR%20JASA%20KEUANGAN.pdf,ojk-peraturan_ojk-16_tahun_2023-07082023-penyidikan_tindak_pidana_di_sektor_jasa_keuangan.pdf,18,16-20
Perdagangan Karbon Melalui Bursa Karbon,https://www.ojk.go.id/id/regulasi/Pages/Perdagangan-Karbon-Melalui-Bursa-Karbon.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,14 Tahun 2023,2 Agustus 2023,Perdagangan-Karbon-Melalui-Bursa-Karbon -- POJK 14 Tahun 2023 - PERDAGANGAN KARBON MELALUI BURSA KARBON.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Perdagangan-Karbon-Melalui-Bursa-Karbon/POJK%2014%20Tahun%202023%20-%20PERDAGANGAN%20KARBON%20MELALUI%20BURSA%20KARBON.pdf,ojk-peraturan_ojk-14_tahun_2023-02082023-perdagangan_karbon_melalui_bursa_karbon.pdf,21,21-25
Kebijakan dalam Menjaga Kinerja dan Stabilitas Pasar Modal dalam Kondisi Pasar yang Berfluktuasi secara Signifikan,https://www.ojk.go.id/id/regulasi/Pages/Kebijakan-dalam-Menjaga-Kinerja-dan-Stabilitas-Pasar-Modal-dalam-Kondisi-Pasar-yang-Berfluktuasi-secara-Signifikan.aspx,Pasar Modal,Peraturan Lainnya,Peraturan OJK,13 Tahun 2023,20 Juli 2023,Kebijakan-dalam-Menjaga-Kinerja-dan-Stabilitas-Pasar-Modal-dalam-Kondisi-Pasar-yang-Berfluktuasi-secara-Signifikan -- POJK 13 TAHUN 2023 - KEBIJAKAN DALAM MENJAGA KINERJA DAN STABILITAS PASAR MODAL D.pdf,https://www.ojk.go.id/id/regulasi/Documents/Pages/Kebijakan-dalam-Menjaga-Kinerja-dan-Stabilitas-Pasar-Modal-dalam-Kondisi-Pasar-yang-Berfluktuasi-secara-Signifikan/POJK%2013%20TAHUN%202023%20-%20KEBIJAKAN%20DALAM%20MENJAGA%20KINERJA%20DAN%20STABILITAS%20PASAR%20MODAL%20D.pdf,ojk-peraturan_ojk-13_tahun_2023-20072023-kebijakan_dalam_menjaga_kinerja_dan_stabilitas_pasar_modal_dalam_kondisi_pasar_yang_berfluktuasi_secara_signifikan.pdf,16,16-20
